,theta,sink_dist
0,-0.98,1.1225338
1,-0.96,1.0907422
2,-0.94,1.0271716
3,-0.92,1.0025748
4,-0.9,0.98895276
5,-0.88,0.9408844
6,-0.86,0.9190668
7,-0.84,0.8584548
8,-0.8200000000000001,0.8507403
9,-0.8,0.80916363
10,-0.78,0.7689527
11,-0.76,0.7361009
12,-0.74,0.69097215
13,-0.72,0.67146635
14,-0.7,0.6607233
15,-0.6799999999999999,0.62685186
16,-0.6599999999999999,0.5866234
17,-0.64,0.5660602
18,-0.62,0.5479338
19,-0.6,0.50255483
20,-0.5800000000000001,0.5019377
21,-0.56,0.47806612
22,-0.54,0.45924124
23,-0.52,0.42483976
24,-0.5,0.406741
25,-0.48,0.39446598
26,-0.45999999999999996,0.3883792
27,-0.43999999999999995,0.34377024
28,-0.42000000000000004,0.32477906
29,-0.4,0.3101514
30,-0.38,0.31567734
31,-0.36,0.28802913
32,-0.33999999999999997,0.29309407
33,-0.31999999999999995,0.26875812
34,-0.30000000000000004,0.23880978
35,-0.28,0.23822805
36,-0.26,0.24648549
37,-0.24,0.23062558
38,-0.21999999999999997,0.20618731
39,-0.19999999999999996,0.20393115
40,-0.18000000000000005,0.20539466
41,-0.16000000000000003,0.19167802
42,-0.14,0.1792635
43,-0.12,0.17757666
44,-0.09999999999999998,0.17752874
45,-0.07999999999999996,0.16868249
46,-0.06000000000000005,0.153802
47,-0.040000000000000036,0.15251675
48,-0.020000000000000018,0.1562655
49,0.0,0.15869853
50,0.020000000000000018,0.17308217
51,0.040000000000000036,0.16892228
52,0.06000000000000005,0.16887692
53,0.08000000000000007,0.16603038
54,0.10000000000000009,0.1803343
55,0.1200000000000001,0.1878459
56,0.1399999999999999,0.17761716
57,0.15999999999999992,0.20491756
58,0.17999999999999994,0.20164707
59,0.19999999999999996,0.20332004
60,0.21999999999999997,0.20832393
61,0.24,0.22873686
62,0.26,0.23153272
63,0.28,0.22701833
64,0.30000000000000004,0.2466851
65,0.32000000000000006,0.25045156
66,0.3400000000000001,0.2696275
67,0.3600000000000001,0.2825786
68,0.3799999999999999,0.30176634
69,0.3999999999999999,0.32103917
70,0.41999999999999993,0.3524767
71,0.43999999999999995,0.34892356
72,0.45999999999999996,0.3625848
73,0.48,0.37528467
74,0.5,0.42580175
75,0.52,0.4530075
76,0.54,0.46536767
77,0.56,0.47735244
78,0.5800000000000001,0.50079215
79,0.6000000000000001,0.52795976
80,0.6200000000000001,0.5627386
81,0.6399999999999999,0.56434274
82,0.6599999999999999,0.6154298
83,0.6799999999999999,0.62156874
84,0.7,0.6608422
85,0.72,0.6752405
86,0.74,0.7167569
87,0.76,0.7418318
88,0.78,0.77194333
89,0.8,0.80386245
90,0.8200000000000001,0.8414454
91,0.8400000000000001,0.878189
92,0.8600000000000001,0.8861362
93,0.8799999999999999,0.92630506
94,0.8999999999999999,0.9872517
95,0.9199999999999999,1.0037699
96,0.94,1.0540057
97,0.96,1.0680678
98,0.98,1.1284679
